wdid,name,wdLabel,gender,dob,dobPrecision,source,pid,position,psid
Q1166562,Darragh O'Brien,Darragh O'Brien,male,1974-07-08,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q6866004,"Minister of Housing, Local Government and Heritage",Q1166562-60af2e18-492a-4a70-02e3-50257feae67a
Q1271675,Paschal Donohoe,Paschal Donohoe,male,1974-09-19,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q4294945,Minister of Finance,Q1271675-4fe5df7d-4e84-a4a4-2035-2eb6e877b5ab
Q13157830,Stephen Donnelly,Stephen Donnelly,male,1975-12-14,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q6865864,Minister of Health,Q13157830-51a4a5cc-4db2-8c83-fa57-b7208906805d
Q1670096,Simon Coveney,Simon Coveney,male,1972-06-16,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q6865781,Minister of Defence,Q1670096-C4CD77DD-294E-4CF2-BCDC-FD5D67B3BA4B
Q1670096,Simon Coveney,Simon Coveney,male,1972-06-16,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q6865853,Minister of Foreign Affairs,Q1670096-be068a55-479a-c5f9-e3d1-bb48feb658b2
Q16980123,Roderic O'Gorman,Roderic O'Gorman,male,1982-12-12,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q6865756,"Minister of Children, Equality, Disability, Integration and Youth",Q16980123-DC0214D9-87E9-4CE9-96DF-CC43A93F2CB0
Q1728820,Leo Varadkar,Leo Varadkar,male,1979-01-18,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q6865902,"Minister of Enterprise, Trade and Employment",Q1728820-2D603253-BD24-49D0-B47C-8E09510FC1BC
Q1728820,Leo Varadkar,Leo Varadkar,male,1979-01-18,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q1146214,Tánaiste,Q1728820-7cfc4e9f-4cb4-b659-2e0b-a3ba06a76a61
Q22966979,Catherine Martin,Catherine Martin,female,1972-12-07,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q6865747,"Minister of Tourism, Culture, Arts, Gaeltacht, Sport and Media",Q22966979-8db373aa-4744-6649-08e4-d0b0884cee12
Q5085220,Charlie McConalogue,Charlie McConalogue,male,1977-10-04,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q6865750,"Minister of Agriculture, Food and the Marine",Q5085220-b22815e0-4414-1760-c3c7-42dbc3f7206f
Q5693903,Heather Humphreys,Heather Humphreys,female,1963-05-14,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q30645438,Minister of Rural and Community Development,Q5693903-0AB95FBA-41AA-4E7E-9129-B5EEBFE7A745
Q5693903,Heather Humphreys,Heather Humphreys,female,1963-05-14,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q97304428,Minister of Social Protection,Q5693903-473CBA84-93BF-4FED-8034-8F4DCE700E4E
Q6832712,Michael McGrath,Michael McGrath,male,1976-08-23,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q6865939,Minister of Public Expenditure and Reform,Q6832712-E1CC2AFC-2406-4FF9-8075-88CCD5A5AF09
Q7518922,Simon Harris,Simon Harris,male,1986-10-17,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q101013450,"Minister of Further and Higher Education, Research, Innovation and Science",Q7518922-1c4a0f97-40ad-13e8-0e35-1a64d4554ed9
Q84768900,Norma Foley,Norma Foley,female,1970-01-01,9,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q6865816,Minister of Education,Q84768900-8f1f88f5-4bd4-0acd-b42e-66cc3e5f3dfc
Q8939886,Helen McEntee,Helen McEntee,female,1986-06-08,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q6865904,Minister for Justice,Q8939886-2c74b576-41e4-3a1d-e7a8-e2392738e997
Q920195,Eamon Ryan,Eamon Ryan,male,1963-07-28,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q6865981,Minister of Transport,Q920195-458E1200-527E-4973-930D-66BA8BD688C2
Q920195,Eamon Ryan,Eamon Ryan,male,1963-07-28,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q6865770,"Minister of the Environment, Climate and Communications",Q920195-55B79028-D941-4294-8188-8458A67F977B
Q920403,Micheál Martin,Micheál Martin,male,1960-08-01,11,https://www.gov.ie/en/organisation-information/9b5048-government-ministers/,Q191827,Taoiseach,Q920403-ad9d2963-4e43-a6bf-9d8c-9a9dce354cc9
