pageid,title
298398,Micheál Martin
559753,Michael D. Higgins
984957,Eamon Ryan
1479177,Simon Coveney
3191229,Denis O'Donovan
3194760,Seán Ó Fearghaíl
11417803,Michael McGrath (Irish politician)
11417854,Leo Varadkar
11452225,Darragh O'Brien
12464309,Paschal Donohoe
23435129,Paul Gallagher (barrister)
25296931,Catherine Connolly
28776485,Simon Harris (politician)
30955472,Stephen Donnelly
31018587,Patrick O'Donovan
31021340,Charlie McConalogue
31022538,Regina Doherty
31023259,Heather Humphreys
31025105,Ann Phelan
31980164,Donal O'Donnell
36682304,Gabriel Makhlouf
38948454,Helen McEntee
42861844,Roderic O'Gorman
49582567,Josepha Madigan
49582606,Catherine Martin (politician)
49583423,Jack Chambers (politician)
63077249,Norma Foley
68088718,Alison Gilliland
69595435,Seán Clancy (Irish general)
