item,itemLabel,startDate,endDate,psid
Q109929699,Seán Clancy,2021-09-29,,Q109929699-f79dab68-4167-1eac-69a0-38c10f55e95f
Q110304808,David Stapleton,1998-08-01,2000-09-24,Q110304808-8AA9E2C4-3A2D-4CA8-8A96-4FCF3B144236
Q110304812,Gerald McMahon,1995-02-01,1998-08-01,Q110304812-13C1D136-6F86-4A3E-BC8F-C1FC7FA686DC
Q1200273,Dermot Earley Snr,2007-06-28,2010-06-09,Q1200273-2204E5FC-1129-4319-9EAB-F73043E1E221
Q16733565,Conor O'Boyle,2013-08-01,2015-09-01,Q16733565-653A25B3-00F1-4A2F-87FF-7D3B06F0B8CB
Q1731879,Sean McCann,2010-06-09,2013-08-12,Q1731879-916CF466-460D-42AB-BE3A-9B5EFEDE0475
Q5147690,Colm Mangan,2000-09-25,2004-02-20,Q5147690-60C3CC40-38DA-4742-93E1-E3AC5926F13F
Q5475429,Mark Mellett,2015-09-29,2021-09-29,Q5475429-0b15cb84-41b2-de51-65fc-6fd0e88dbab6
Q6143469,James Sreenan,2004-02-21,2007-06-28,Q6143469-4761C8B9-9AFE-4628-8A83-98599B0C5A2A
