ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,isa,isaLabel,parent,parentLabel,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q47090588,6th de Valera ministry,1937-12-29,11,,,1938-06-30,11,,,Q1672817,Government of Ireland,,,Q95218736,5th de Valera ministry,Q5589348,7th de Valera ministry,,,,
,Q5589348,7th de Valera ministry,1938-06-30,11,,,1943-07-01,11,,,Q1672817,Government of Ireland,,,Q47090588,6th de Valera ministry,Q5589350,8th de Valera ministry,,,,
,Q5589350,8th de Valera ministry,1943-07-01,11,,,1944-06-09,11,,,Q1672817,Government of Ireland,,,Q5589348,7th de Valera ministry,Q5589349,9th de Valera ministry,,,,
,Q5589349,9th de Valera ministry,1944-06-09,11,,,1948-02-18,11,,,Q1672817,Government of Ireland,,,Q5589350,8th de Valera ministry,Q5589351,1st Costello ministry,,,,
,Q5589351,1st Costello ministry,1948-02-18,11,,,1951-06-13,11,,,Q1672817,Government of Ireland,,,Q5589349,9th de Valera ministry,Q5589353,10th de Valera ministry,,,,
,Q5589353,10th de Valera ministry,1951-06-13,11,,,1954-06-02,11,,,Q1672817,Government of Ireland,,,Q5589351,1st Costello ministry,Q5589354,2nd Costello ministry,Q5589351,1st Costello ministry,Q5589354,2nd Costello ministry
,Q5589354,2nd Costello ministry,1954-06-02,11,,,1957-03-20,11,,,Q1672817,Government of Ireland,,,Q5589353,10th de Valera ministry,Q47090595,11th de Valera ministry,,,,
,Q47090595,11th de Valera ministry,1957-03-20,11,,,1959-06-23,11,,,Q1672817,Government of Ireland,,,Q5589354,2nd Costello ministry,Q47090596,1st Lemass ministry,,,,
,Q47090596,1st Lemass ministry,1959-06-23,11,,,1961-10-11,11,,,Q1672817,Government of Ireland,,,Q47090595,11th de Valera ministry,Q5589357,2nd Lemass ministry,,,,
,Q5589357,2nd Lemass ministry,1961-11-11,11,,,1965-04-21,11,,,Q1672817,Government of Ireland,,,Q47090596,1st Lemass ministry,Q47090598,3rd Lemass ministry,,,,
,Q47090598,3rd Lemass ministry,1965-04-21,11,,,1966-11-10,11,,,Q1672817,Government of Ireland,,,Q5589357,2nd Lemass ministry,Q47090599,1st Lynch ministry,,,,
,Q47090599,1st Lynch ministry,1966-11-10,11,,,1969-07-02,11,,,Q1672817,Government of Ireland,,,Q47090598,3rd Lemass ministry,Q5589359,2nd Lynch ministry,,,,
,Q5589359,2nd Lynch ministry,1969-07-02,11,,,1973-03-14,11,,,Q1672817,Government of Ireland,,,Q47090599,1st Lynch ministry,Q5589363,Cosgrave ministry,,,,
,Q5589363,Cosgrave ministry,1973-03-14,11,,,1977-07-05,11,,,Q1672817,Government of Ireland,,,Q5589359,2nd Lynch ministry,Q47090602,3rd Lynch ministry,Q5589359,2nd Lynch ministry,,
,Q47090602,3rd Lynch ministry,1977-07-11,11,,,1979-12-11,11,,,Q1672817,Government of Ireland,,,Q5589363,Cosgrave ministry,Q47090603,1st Haughey ministry,,,,
,Q47090603,1st Haughey ministry,1979-12-11,11,,,1981-06-30,11,,,Q1672817,Government of Ireland,,,Q47090602,3rd Lynch ministry,Q5589366,1st FitzGerald ministry,,,,
,Q5589366,1st FitzGerald ministry,1981-06-30,11,,,1982-03-09,11,,,Q1672817,Government of Ireland,,,Q47090603,1st Haughey ministry,Q5589367,2nd Haughey ministry,Q5589365,Governments of the 21st Dáil,Q5589367,2nd Haughey ministry
,Q5589367,2nd Haughey ministry,1982-03-09,11,,,1982-12-14,11,,,Q1672817,Government of Ireland,,,Q5589366,1st FitzGerald ministry,Q5589368,2nd FitzGerald ministry,Q5589366,1st FitzGerald ministry,Q5589368,2nd FitzGerald ministry
,Q5589368,2nd FitzGerald ministry,1982-12-14,11,1982-01-01,9,1987-03-10,11,,,Q1672817,Government of Ireland,,,Q5589367,2nd Haughey ministry,Q5589369,3rd Haughey ministry,Q5589367,2nd Haughey ministry,Q5589369,3rd Haughey ministry
,Q5589369,3rd Haughey ministry,1987-03-10,11,1987-01-01,9,1989-07-12,11,,,Q1672817,Government of Ireland,,,Q5589368,2nd FitzGerald ministry,Q47090608,4th Haughey ministry,Q5589368,2nd FitzGerald ministry,Q5589370,Governments of the 26th Dáil
,Q47090608,4th Haughey ministry,1989-07-12,11,,,1992-02-11,11,,,Q1672817,Government of Ireland,,,Q5589369,3rd Haughey ministry,Q47090609,1st Reynolds ministry,,,,
,Q47090609,1st Reynolds ministry,1992-02-11,11,,,1993-01-12,11,,,Q1672817,Government of Ireland,,,Q47090608,4th Haughey ministry,Q6866517,2nd Reynolds ministry,,,,
,Q6866517,2nd Reynolds ministry,1993-01-12,11,,,1994-12-15,11,,,Q1672817,Government of Ireland,,,Q47090609,1st Reynolds ministry,Q47090611,Bruton ministry,,,,
,Q47090611,Bruton ministry,1994-12-15,11,,,1997-06-26,11,,,Q1672817,Government of Ireland,,,Q6866517,2nd Reynolds ministry,Q47090612,1st Ahern ministry,,,,
,Q47090612,1st Ahern ministry,1997-07-26,11,,,2002-06-06,11,,,Q1672817,Government of Ireland,,,Q47090611,Bruton ministry,Q47090613,2nd Ahern ministry,,,,
,Q47090613,2nd Ahern ministry,2002-06-06,11,,,2007-06-14,11,,,Q1672817,Government of Ireland,,,Q47090612,1st Ahern ministry,Q47090614,3rd Ahern ministry,,,,
,Q47090614,3rd Ahern ministry,2007-06-14,11,,,2008-05-07,11,,,Q1672817,Government of Ireland,,,Q47090613,2nd Ahern ministry,Q47090615,Cowen ministry,,,,
,Q47090615,Cowen ministry,2008-05-07,11,,,2011-03-09,11,,,Q1672817,Government of Ireland,,,Q47090614,3rd Ahern ministry,Q2006168,first Kenny ministry,,,Q2006168,first Kenny ministry
,Q2006168,first Kenny ministry,2011-03-09,11,2011-03-09,11,2016-05-06,11,,,Q1672817,Government of Ireland,,,Q3112622,Governments of the 30th Dáil,Q47090617,second Kenny ministry,Q47090615,Cowen ministry,,
,Q2006168,first Kenny ministry,2011-03-09,11,2011-03-09,11,2016-05-06,11,,,Q1672817,Government of Ireland,,,Q47090615,Cowen ministry,Q47090617,second Kenny ministry,Q47090615,Cowen ministry,,
,Q47090617,second Kenny ministry,2016-05-06,11,,,2017-06-14,11,,,Q1672817,Government of Ireland,,,Q2006168,first Kenny ministry,Q47090618,Varadkar ministry,,,,
,Q47090618,Varadkar ministry,2017-06-14,11,,,2020-06-27,11,,,Q1672817,Government of Ireland,,,Q47090617,second Kenny ministry,Q47090619,Martin ministry,,,,
,Q47090619,Martin ministry,2020-06-27,11,,,,,,,Q1672817,Government of Ireland,,,Q47090618,Varadkar ministry,,,,,,
