item,itemLabel,position,positionLabel,start,psid
Q1166562,Darragh O'Brien,Q6866004,"Minister for Housing, Planning and Local Government",2020-06-01,Q1166562-60af2e18-492a-4a70-02e3-50257feae67a
Q1271675,Paschal Donohoe,Q4294945,Irish Minister for Finance,2017-06-14,Q1271675-4fe5df7d-4e84-a4a4-2035-2eb6e877b5ab
Q13157830,Stephen Donnelly,Q6865864,Irish Minister for Health,2020-06-27,Q13157830-51a4a5cc-4db2-8c83-fa57-b7208906805d
Q1670096,Simon Coveney,Q6865781,Minister for Defence,2020-06-27,Q1670096-C4CD77DD-294E-4CF2-BCDC-FD5D67B3BA4B
Q1670096,Simon Coveney,Q6865853,Minister for Foreign Affairs and Trade,2017-06-14,Q1670096-be068a55-479a-c5f9-e3d1-bb48feb658b2
Q16980123,Roderic O'Gorman,Q6865756,Minister for Children and Youth Affairs,2020-06-27,Q16980123-DC0214D9-87E9-4CE9-96DF-CC43A93F2CB0
Q1728820,Leo Varadkar,Q1146214,Tánaiste,2020-06-27,Q1728820-7cfc4e9f-4cb4-b659-2e0b-a3ba06a76a61
Q1728820,Leo Varadkar,Q6865902,"Minister for Jobs, Enterprise and Innovation",2020-06-27,Q1728820-2D603253-BD24-49D0-B47C-8E09510FC1BC
Q22966979,Catherine Martin,Q6865747,"Minister for Tourism, Culture, Arts, Gaeltacht, Sport and Media",2020-06-01,Q22966979-8db373aa-4744-6649-08e4-d0b0884cee12
Q5085220,Charlie McConalogue,Q6865750,"Minister for Agriculture, Food and the Marine",2020-09-02,Q5085220-b22815e0-4414-1760-c3c7-42dbc3f7206f
Q5693903,Heather Humphreys,Q30645438,Minister for Community and Rural Affairs,2020-06-27,Q5693903-0AB95FBA-41AA-4E7E-9129-B5EEBFE7A745
Q5693903,Heather Humphreys,Q97304428,"Minister for Social Protection, Community and Rural Development and the Islands",2020-06-27,Q5693903-473CBA84-93BF-4FED-8034-8F4DCE700E4E
Q6832712,Michael McGrath,Q6865939,Minister for Public Expenditure and Reform,2020-06-27,Q6832712-E1CC2AFC-2406-4FF9-8075-88CCD5A5AF09
Q7518922,Simon Harris,Q101013450,"Minister for Further and Higher Education, Research, Innovation and Science",2020-06-27,Q7518922-1c4a0f97-40ad-13e8-0e35-1a64d4554ed9
Q84768900,Norma Foley,Q6865816,Minister for Education and Skills,2020-06-27,Q84768900-8f1f88f5-4bd4-0acd-b42e-66cc3e5f3dfc
Q8939886,Helen McEntee,Q6865904,Irish Minister for Justice and Equality,2021-11-01,Q8939886-2c74b576-41e4-3a1d-e7a8-e2392738e997
Q920195,Eamon Ryan,Q6865770,"Minister for Communications, Climate Action and Environment",2020-06-27,Q920195-55B79028-D941-4294-8188-8458A67F977B
Q920195,Eamon Ryan,Q6865981,"Minister for Transport, Tourism and Sport",2020-06-27,Q920195-458E1200-527E-4973-930D-66BA8BD688C2
Q920403,Micheál Martin,Q191827,Taoiseach,2020-06-27,Q920403-ad9d2963-4e43-a6bf-9d8c-9a9dce354cc9
